Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-08-22,0.053470603617936874,0.056660987339753395,0.0,0.0,0.0,0.0,0.05594275289727972
2023-08-23,0.053372665647895993,0.05776149062786695,0.0,0.0,0.0,0.0,0.05543129974343036
2023-08-24,0.05312686736097489,0.058040268803665786,0.0,0.0,0.0,0.0,0.05682009776157072
2023-08-25,0.052625446110274574,0.05716474671214959,0.0,0.0,0.0,0.0,0.055278550472133106
2023-08-28,0.053151701564046167,0.05823447706657856,0.0,0.0,0.0,0.0,0.05517156932744804
2023-08-29,0.05297328363214032,0.057421281304908325,0.0,0.0,0.0,0.0,0.055485302847405826
2023-08-30,0.05332774187711949,0.0576997196112269,0.0,0.0,0.0,0.0,0.05520172092268834
2023-08-31,0.05382803404090039,0.05722187013071347,0.0,0.0,0.0,0.0,0.05497972681844732
2023-09-01,0.05547744849136776,0.05721591615694187,0.0,0.0,0.0,0.0,0.0545239477146407
2023-09-04,0.056461832197562054,0.0,0.0,0.0,0.0,0.05646183219756206,0.056461832197562054
2023-09-05,0.056333765993204894,0.0,0.0,0.0,0.0,0.056057986199464394,0.05655341364764844
2023-09-06,0.05721753311168129,0.0,0.0,0.0,0.0,0.05636184337751743,0.056296551385484166
2023-09-07,0.05693950367567863,0.0,0.0,0.0,0.0,0.057187561933108505,0.055858174983105593
2023-09-08,0.055852811518458216,0.0,0.0,0.0,0.0,0.05715196297009245,0.05604444225716527
2023-09-11,0.05611840207137814,0.0,0.0,0.0,0.0,0.056942573784743704,0.058065012599074886
2023-09-12,0.05665683207987128,0.0,0.0,0.0,0.0,0.05740291573510463,0.05906410378817803
2023-09-13,0.05596397306535819,0.0,0.0,0.0,0.0,0.057940872968361014,0.05817374214254266
2023-09-14,0.05683150459922587,0.0,0.0,0.0,0.0,0.058008087576811515,0.05770274970842037
2023-09-15,0.05788220138863666,0.0,0.0,0.0,0.0,0.05926742728279375,0.05867062811203877
2023-09-19,0.0574294944170173,0.0,0.0,0.0,0.0,0.06000783578744967,0.05684634092443513
2023-09-20,0.05658693848997628,0.0,0.0,0.0,0.0,0.059956660792283345,0.056617012699366275
2023-09-21,0.05551002273155346,0.0,0.0,0.0,0.0,0.05995247777487064,0.05499979583388234
2023-09-22,0.055005620704260495,0.0,0.0,0.0,0.0,0.06039199986577312,0.05451714057602493
2023-09-25,0.05569825728393683,0.0,0.0,0.0,0.0,0.060314389581776415,0.05633913542683789
